TEAM_ID, OFF_RATING, DEF_RATING, NET_RATING, AST_PCT, AST_TOV, AST_RATIO, OREB_PCT, DREB_PCT, REB_PCT, TM_TOV_PCT, EFG_PCT, TS_PCT, USG_PCT, PACE, PACE_PER40, POSS, PIE, HOME, TEAM_ID_O, OFF_RATING_O, DEF_RATING_O, NET_RATING_O, AST_PCT_O, AST_TOV_O, AST_RATIO_O, OREB_PCT_O, DREB_PCT_O, REB_PCT_O, TM_TOV_PCT_O, EFG_PCT_O, TS_PCT_O, USG_PCT_O ,PACE_O, PACE_PER40_O, POSS_O, PIE_O, HOME_O, LABEL
1610612749.0, 119.8, 101.8, 18.0, 0.571, 2.0, 18.9, 0.245, 0.6, 0.44, 12.6, 0.592, 0.624, 1.0, 111.5, 92.92, 111.0, 0.643, 0.0, 1610612737.0, 101.8, 119.8, -18.0, 0.487, 0.79, 12.5, 0.4, 0.755, 0.56, 21.4, 0.469, 0.522, 1.0, 111.5, 92.92, 112.0, 0.357, 1.0, 1
1610612755.0, 123.5, 126.8, -3.3, 0.689, 2.07, 21.4, 0.362, 0.541, 0.44, 15.3, 0.58, 0.612, 1.0, 97.5, 81.25, 98.0, 0.491, 0.0, 1610612737.0, 126.8, 123.5, 3.3, 0.6, 1.29, 19.2, 0.459, 0.638, 0.56, 21.6, 0.63, 0.662, 1.0, 97.5, 81.25, 97.0, 0.509, 1.0, 2
1610612751.0, 107.4, 92.6, 14.8, 0.488, 1.05, 14.2, 0.368, 0.609, 0.496, 18.5, 0.505, 0.545, 1.0, 108.0, 90.0, 108.0, 0.605, 0.0, 1610612737.0, 92.6, 107.4, -14.8, 0.472, 0.77, 11.4, 0.391, 0.632, 0.504, 20.4, 0.394, 0.455, 1.0, 108.0, 90.0, 108.0, 0.395, 1.0, 1
1610612761.0, 99.0, 97.1, 1.9, 0.703, 1.37, 19.0, 0.213, 0.667, 0.449, 18.1, 0.525, 0.566, 1.0, 104.5, 87.08, 105.0, 0.556, 0.0, 1610612737.0, 97.1, 99.0, -1.9, 0.55, 0.81, 15.4, 0.333, 0.787, 0.551, 26.0, 0.517, 0.537, 1.0, 104.5, 87.08, 104.0, 0.444, 1.0, 1
1610612748.0, 83.7, 109.3, -25.6, 0.742, 1.64, 16.9, 0.254, 0.633, 0.42, 14.3, 0.385, 0.415, 1.0, 97.5, 81.25, 98.0, 0.355, 0.0, 1610612737.0, 109.3, 83.7, 25.6, 0.581, 1.47, 18.0, 0.367, 0.746, 0.58, 17.5, 0.527, 0.548, 1.0, 97.5, 81.25, 97.0, 0.645, 1.0, 2
1610612749.0, 127.4, 99.1, 28.3, 0.655, 2.57, 22.2, 0.348, 0.83, 0.606, 12.4, 0.62, 0.641, 1.0, 113.0, 94.17, 113.0, 0.664, 0.0, 1610612737.0, 99.1, 127.4, -28.3, 0.703, 1.24, 17.6, 0.17, 0.652, 0.394, 18.6, 0.518, 0.558, 1.0, 113.0, 94.17, 113.0, 0.336, 1.0, 1
1610612764.0, 114.0, 98.0, 16.0, 0.674, 2.9, 20.5, 0.255, 0.684, 0.481, 10.0, 0.527, 0.558, 1.0, 100.0, 83.33, 100.0, 0.576, 0.0, 1610612737.0, 98.0, 114.0, -16.0, 0.65, 1.86, 18.5, 0.316, 0.745, 0.519, 14.0, 0.474, 0.486, 1.0, 100.0, 83.33, 100.0, 0.424, 1.0, 1
1610612754.0, 119.6, 110.2, 9.4, 0.69, 2.64, 21.2, 0.239, 0.586, 0.433, 11.3, 0.565, 0.599, 1.0, 97.5, 81.25, 97.0, 0.579, 0.0, 1610612737.0, 110.2, 119.6, -9.4, 0.585, 1.41, 16.6, 0.414, 0.761, 0.567, 17.3, 0.5, 0.522, 1.0, 97.5, 81.25, 98.0, 0.421, 1.0, 1
1610612739.0, 109.1, 111.0, -1.9, 0.675, 2.25, 19.7, 0.224, 0.607, 0.436, 12.1, 0.5, 0.552, 1.0, 99.5, 82.92, 99.0, 0.525, 0.0, 1610612737.0, 111.0, 109.1, 1.9, 0.628, 2.08, 18.1, 0.393, 0.776, 0.564, 13.0, 0.49, 0.509, 1.0, 99.5, 82.92, 100.0, 0.475, 1.0, 2
1610612750.0, 107.1, 111.8, -4.7, 0.636, 2.0, 17.9, 0.323, 0.589, 0.446, 12.5, 0.505, 0.523, 1.0, 100.53, 83.77, 112.0, 0.485, 0.0, 1610612737.0, 111.8, 107.1, 4.7, 0.681, 1.33, 19.4, 0.411, 0.677, 0.554, 21.8, 0.55, 0.565, 1.0, 100.53, 83.77, 110.0, 0.515, 1.0, 2
