'TEAM_ID', 'FGA', 'FG_PCT', 'FG3A', 'FG3_PCT', 'FTA', 'FT_PCT', 'OREB', 'DREB', 'AST', 'STL', 'BLK', 'TO', 'PF', 'PTS', 'HOME', 'TEAM_ID_O', 'FGA_O', 'FG_PCT_O', 'FG3A_O', 'FG3_PCT_O', 'FTA_O', 'FT_PCT_O', 'OREB_O', 'DREB_O', 'AST_O', 'STL_O', 'BLK_O', 'TO_O', 'PF_O', 'PTS_O', 'HOME_O'
1610612754.0, 76.0, 0.421, 15.0, 0.2, 25.0, 0.8, 13.0, 24.0, 13.0, 4.0, 5.0, 10.0, 18.0, 87.0, 0.0, 1610612737.0, 80.0, 0.463, 6.0, 0.167, 18.0, 0.889, 17.0, 29.0, 17.0, 5.0, 3.0, 12.0, 20.0, 91.0, 1.0, 2
1610612761.0, 93.0, 0.355, 8.0, 0.125, 5.0, 1.0, 14.0, 34.0, 27.0, 7.0, 7.0, 10.0, 14.0, 72.0, 0.0, 1610612737.0, 81.0, 0.395, 7.0, 0.429, 11.0, 1.0, 10.0, 40.0, 18.0, 6.0, 10.0, 13.0, 13.0, 78.0, 1.0, 2
1610612752.0, 80.0, 0.388, 17.0, 0.353, 16.0, 0.563, 13.0, 28.0, 20.0, 4.0, 2.0, 11.0, 24.0, 77.0, 0.0, 1610612737.0, 75.0, 0.453, 13.0, 0.385, 17.0, 0.824, 10.0, 35.0, 17.0, 4.0, 5.0, 13.0, 19.0, 87.0, 1.0, 2
1610612751.0, 80.0, 0.438, 10.0, 0.3, 24.0, 0.667, 9.0, 26.0, 15.0, 12.0, 9.0, 8.0, 18.0, 89.0, 0.0, 1610612737.0, 80.0, 0.438, 11.0, 0.455, 9.0, 0.889, 13.0, 33.0, 17.0, 6.0, 5.0, 20.0, 20.0, 83.0, 1.0, 1
1610612741.0, 81.0, 0.346, 13.0, 0.077, 20.0, 0.85, 10.0, 32.0, 17.0, 9.0, 6.0, 12.0, 30.0, 74.0, 0.0, 1610612737.0, 79.0, 0.367, 5.0, 0.4, 35.0, 0.714, 16.0, 38.0, 18.0, 4.0, 3.0, 15.0, 22.0, 85.0, 1.0, 2
1610612765.0, 81.0, 0.432, 11.0, 0.364, 24.0, 0.75, 9.0, 44.0, 24.0, 7.0, 4.0, 15.0, 22.0, 92.0, 0.0, 1610612737.0, 79.0, 0.316, 15.0, 0.2, 22.0, 0.727, 8.0, 33.0, 17.0, 9.0, 5.0, 17.0, 24.0, 69.0, 1.0, 1
1610612758.0, 87.0, 0.414, 16.0, 0.5, 26.0, 0.731, 10.0, 38.0, 18.0, 10.0, 4.0, 12.0, 23.0, 99.0, 0.0, 1610612737.0, 80.0, 0.45, 13.0, 0.462, 37.0, 0.784, 8.0, 41.0, 13.0, 7.0, 7.0, 13.0, 23.0, 107.0, 1.0, 2
1610612739.0, 74.0, 0.486, 4.0, 0.0, 30.0, 0.833, 11.0, 29.0, 19.0, 8.0, 11.0, 15.0, 19.0, 97.0, 0.0, 1610612737.0, 87.0, 0.437, 14.0, 0.214, 15.0, 0.733, 13.0, 24.0, 24.0, 8.0, 7.0, 14.0, 21.0, 90.0, 1.0, 1
1610612748.0, 72.0, 0.375, 12.0, 0.25, 28.0, 0.821, 7.0, 25.0, 17.0, 15.0, 4.0, 9.0, 21.0, 80.0, 0.0, 1610612737.0, 70.0, 0.4, 9.0, 0.444, 25.0, 0.64, 16.0, 36.0, 13.0, 4.0, 5.0, 21.0, 26.0, 76.0, 1.0, 1
1610612748.0, 69.0, 0.507, 10.0, 0.6, 29.0, 0.828, 12.0, 26.0, 23.0, 6.0, 0.0, 14.0, 19.0, 100.0, 0.0, 1610612737.0, 73.0, 0.493, 11.0, 0.455, 19.0, 0.789, 10.0, 23.0, 14.0, 8.0, 1.0, 15.0, 25.0, 92.0, 1.0, 1
