TEAM_ID, FGA ,FG_PCT, FG3A, FG3_PCT, FTA, FT_PCT, OREB, DREB, AST, STL, BLK, TO, PF, PTS, HOME, TEAM_ID_O, FGA_O, FG_PCT_O, FG3A_O, FG3_PCT_O, FTA_O, FT_PCT_O, OREB_O, DREB_O, AST_O ,STL_O, BLK_O, TO_O, PF_O, PTS_O, HOME_O, LABEL
1610612756.0, 88.0, 0.511, 32.0, 0.375, 18.0, 0.833, 11.0, 38.0, 27.0, 6.0, 1.0, 13.0, 14.0, 117.0, 0.0, 1610612737.0, 85.0, 0.482, 32.0, 0.406, 21.0, 0.714, 6.0, 30.0, 30.0, 9.0, 1.0, 7.0, 17.0, 110.0, 1.0, 1
1610612747.0, 81.0, 0.42, 26.0, 0.308, 24.0, 0.75, 13.0, 39.0, 18.0, 6.0, 3.0, 16.0, 16.0, 94.0, 0.0, 1610612737.0, 98.0, 0.398, 37.0, 0.351, 9.0, 0.889, 16.0, 33.0, 26.0, 13.0, 7.0, 8.0, 21.0, 99.0, 1.0, 2
1610612760.0, 93.0, 0.366, 34.0, 0.382, 16.0, 0.75, 11.0, 27.0, 18.0, 5.0, 3.0, 9.0, 13.0, 93.0, 0.0, 1610612737.0, 87.0, 0.54, 33.0, 0.333, 13.0, 0.846, 6.0, 44.0, 26.0, 6.0, 7.0, 14.0, 16.0, 116.0, 1.0, 2
1610612745.0, 88.0, 0.477, 34.0, 0.382, 13.0, 0.769, 10.0, 27.0, 27.0, 6.0, 6.0, 13.0, 19.0, 107.0, 0.0, 1610612737.0, 86.0, 0.512, 37.0, 0.459, 16.0, 0.875, 9.0, 29.0, 32.0, 8.0, 6.0, 12.0, 18.0, 119.0, 1.0, 2
1610612739.0, 81.0, 0.383, 30.0, 0.267, 23.0, 0.522, 14.0, 20.0, 19.0, 4.0, 5.0, 13.0, 18.0, 82.0, 0.0, 1610612737.0, 71.0, 0.451, 29.0, 0.414, 26.0, 0.923, 12.0, 37.0, 21.0, 4.0, 6.0, 15.0, 21.0, 100.0, 1.0, 2
1610612758.0, 98.0, 0.439, 36.0, 0.194, 16.0, 0.813, 22.0, 25.0, 27.0, 5.0, 1.0, 12.0, 26.0, 106.0, 0.0, 1610612737.0, 84.0, 0.512, 33.0, 0.364, 33.0, 0.697, 13.0, 32.0, 21.0, 6.0, 2.0, 8.0, 17.0, 121.0, 1.0, 2
1610612761.0, 96.0, 0.438, 37.0, 0.459, 23.0, 0.826, 13.0, 37.0, 23.0, 8.0, 4.0, 14.0, 25.0, 120.0, 0.0, 1610612737.0, 90.0, 0.433, 42.0, 0.357, 35.0, 0.8, 12.0, 41.0, 20.0, 8.0, 13.0, 14.0, 26.0, 121.0, 1.0, 2
1610612753.0, 84.0, 0.429, 35.0, 0.371, 27.0, 1.0, 10.0, 36.0, 24.0, 6.0, 5.0, 10.0, 15.0, 112.0, 0.0, 1610612737.0, 85.0, 0.447, 45.0, 0.467, 19.0, 0.947, 6.0, 36.0, 26.0, 7.0, 5.0, 12.0, 25.0, 115.0, 1.0, 2
1610612748.0, 75.0, 0.373, 33.0, 0.273, 22.0, 0.682, 5.0, 21.0, 15.0, 16.0, 4.0, 7.0, 13.0, 80.0, 0.0, 1610612737.0, 71.0, 0.479, 36.0, 0.361, 15.0, 0.867, 11.0, 36.0, 26.0, 5.0, 2.0, 23.0, 18.0, 94.0, 1.0, 2
1610612748.0, 86.0, 0.453, 37.0, 0.297, 22.0, 0.909, 12.0, 33.0, 27.0, 8.0, 6.0, 14.0, 20.0, 109.0, 0.0, 1610612737.0, 87.0, 0.414, 35.0, 0.229, 22.0, 0.864, 16.0, 33.0, 22.0, 12.0, 6.0, 16.0, 20.0, 99.0, 1.0, 1
1610612760.0, 88.0, 0.523, 42.0, 0.381, 16.0, 0.625, 5.0, 34.0, 31.0, 6.0, 2.0, 10.0, 17.0, 118.0, 0.0, 1610612737.0, 97.0, 0.443, 40.0, 0.3, 17.0, 0.647, 19.0, 35.0, 21.0, 6.0, 5.0, 10.0, 13.0, 109.0, 1.0, 1
1610612738.0, 95.0, 0.442, 31.0, 0.258, 23.0, 0.87, 12.0, 24.0, 20.0, 10.0, 6.0, 6.0, 16.0, 112.0, 0.0, 1610612737.0, 85.0, 0.529, 42.0, 0.548, 17.0, 0.824, 12.0, 33.0, 27.0, 4.0, 5.0, 17.0, 23.0, 127.0, 1.0, 2
1610612739.0, 78.0, 0.526, 28.0, 0.536, 19.0, 0.789, 7.0, 29.0, 28.0, 7.0, 10.0, 15.0, 19.0, 112.0, 0.0, 1610612737.0, 89.0, 0.449, 31.0, 0.452, 23.0, 0.739, 13.0, 28.0, 22.0, 10.0, 4.0, 11.0, 19.0, 111.0, 1.0, 1
