1610612743.0, 124.3, 108.5, 15.8, 0.7, 2.06, 24.0, 0.189, 0.72, 0.494, 15.9, 0.68, 0.708, 1.0, 106.5, 88.75, 107.0, 0.609, 0.0, 1610612737.0, 108.5, 124.3, -15.8, 0.537, 1.47, 15.7, 0.28, 0.811, 0.506, 14.2, 0.506, 0.558, 1.0, 106.5, 88.75, 106.0, 0.391, 1.0, 1
1610612753.0, 100.0, 111.0, -11.0, 0.714, 1.47, 17.7, 0.316, 0.837, 0.54, 17.2, 0.444, 0.499, 1.0, 99.5, 82.92, 99.0, 0.405, 0.0, 1610612737.0, 111.0, 100.0, 11.0, 0.595, 1.92, 19.2, 0.163, 0.684, 0.46, 13.0, 0.559, 0.603, 1.0, 99.5, 82.92, 100.0, 0.595, 1.0, 2
1610612745.0, 125.7, 122.3, 3.4, 0.587, 2.45, 18.5, 0.327, 0.795, 0.542, 10.5, 0.578, 0.612, 1.0, 104.0, 86.67, 105.0, 0.519, 0.0, 1610612737.0, 122.3, 125.7, -3.4, 0.476, 1.67, 15.3, 0.205, 0.673, 0.458, 11.7, 0.582, 0.639, 1.0, 104.0, 86.67, 103.0, 0.481, 1.0, 1
1610612751.0, 110.8, 101.9, 8.8, 0.565, 1.86, 18.6, 0.271, 0.655, 0.481, 13.7, 0.527, 0.565, 1.0, 102.5, 85.42, 102.0, 0.555, 0.0, 1610612737.0, 101.9, 110.8, -8.8, 0.568, 1.4, 14.9, 0.345, 0.729, 0.519, 14.6, 0.452, 0.502, 1.0, 102.5, 85.42, 103.0, 0.445, 1.0, 1
1610612750.0, 112.2, 123.5, -11.2, 0.564, 2.75, 16.1, 0.317, 0.706, 0.495, 8.2, 0.485, 0.517, 1.0, 98.0, 81.67, 98.0, 0.449, 0.0, 1610612737.0, 123.5, 112.2, 11.2, 0.775, 2.58, 21.9, 0.294, 0.683, 0.505, 12.2, 0.583, 0.615, 1.0, 98.0, 81.67, 98.0, 0.551, 1.0, 2
1610612766.0, 130.0, 127.0, 3.0, 0.457, 3.5, 16.8, 0.159, 0.702, 0.44, 6.0, 0.634, 0.661, 1.0, 100.0, 83.33, 100.0, 0.507, 0.0, 1610612737.0, 127.0, 130.0, -3.0, 0.604, 2.64, 20.6, 0.298, 0.841, 0.56, 11.0, 0.608, 0.629, 1.0, 100.0, 83.33, 100.0, 0.493, 1.0, 1
1610612755.0, 105.4, 104.3, 1.0, 0.579, 2.0, 18.1, 0.156, 0.725, 0.458, 11.8, 0.525, 0.554, 1.0, 92.5, 77.08, 93.0, 0.523, 0.0, 1610612737.0, 104.3, 105.4, -1.0, 0.645, 1.33, 16.1, 0.275, 0.844, 0.542, 16.3, 0.474, 0.538, 1.0, 92.5, 77.08, 92.0, 0.477, 1.0, 1
1610612754.0, 112.1, 117.5, -5.4, 0.523, 2.3, 17.7, 0.229, 0.837, 0.516, 10.1, 0.544, 0.572, 1.0, 98.0, 81.67, 99.0, 0.48, 0.0, 1610612737.0, 117.5, 112.1, 5.4, 0.545, 1.85, 18.7, 0.163, 0.771, 0.484, 13.4, 0.605, 0.624, 1.0, 98.0, 81.67, 97.0, 0.52, 1.0, 2
1610612752.0, 105.3, 97.8, 7.5, 0.556, 2.0, 16.4, 0.204, 0.721, 0.491, 10.6, 0.506, 0.54, 1.0, 93.0, 77.5, 94.0, 0.548, 0.0, 1610612737.0, 97.8, 105.3, -7.5, 0.545, 2.57, 14.2, 0.279, 0.796, 0.509, 7.6, 0.403, 0.442, 1.0, 93.0, 77.5, 92.0, 0.452, 1.0, 1
1610612763.0, 100.0, 130.7, -30.7, 0.73, 2.08, 19.4, 0.224, 0.718, 0.423, 13.0, 0.473, 0.503, 1.0, 100.5, 83.75, 100.0, 0.344, 0.0, 1610612737.0, 130.7, 100.0, 30.7, 0.635, 2.75, 23.0, 0.282, 0.776, 0.577, 11.9, 0.657, 0.672, 1.0, 100.5, 83.75, 101.0, 0.656, 1.0, 2
1610612759.0, 106.0, 125.3, -19.3, 0.628, 2.25, 18.8, 0.351, 0.744, 0.52, 12.0, 0.49, 0.508, 1.0, 99.5, 82.92, 100.0, 0.406, 0.0, 1610612737.0, 125.3, 106.0, 19.3, 0.578, 2.36, 19.2, 0.256, 0.649, 0.48, 11.1, 0.58, 0.629, 1.0, 99.5, 82.92, 99.0, 0.594, 1.0, 2
