TEAM_ID, FGA ,FG_PCT, FG3A, FG3_PCT, FTA, FT_PCT, OREB, DREB, AST, STL, BLK, TO, PF, PTS, HOME, TEAM_ID_O, FGA_O, FG_PCT_O, FG3A_O, FG3_PCT_O, FTA_O, FT_PCT_O, OREB_O, DREB_O, AST_O ,STL_O, BLK_O, TO_O, PF_O, PTS_O, HOME_O, LABEL
1610612749.0, 92.0, 0.533, 30.0, 0.367, 33.0, 0.727, 8.0, 31.0, 28.0, 13.0, 4.0, 14.0, 25.0, 133.0, 0.0, 1610612737.0, 96.0, 0.406, 38.0, 0.316, 30.0, 0.8, 18.0, 36.0, 19.0, 3.0, 5.0, 24.0, 30.0, 114.0, 1.0, 1
1610612755.0, 87.0, 0.517, 33.0, 0.333, 27.0, 0.741, 11.0, 19.0, 31.0, 13.0, 4.0, 15.0, 23.0, 121.0, 0.0, 1610612737.0, 81.0, 0.556, 25.0, 0.48, 27.0, 0.778, 15.0, 29.0, 27.0, 7.0, 4.0, 21.0, 24.0, 123.0, 1.0, 2
1610612751.0, 95.0, 0.453, 30.0, 0.333, 26.0, 0.769, 18.0, 36.0, 21.0, 10.0, 9.0, 18.0, 28.0, 116.0, 0.0, 1610612737.0, 99.0, 0.364, 35.0, 0.171, 25.0, 0.88, 18.0, 34.0, 17.0, 8.0, 6.0, 19.0, 24.0, 100.0, 1.0, 1
1610612761.0, 80.0, 0.463, 32.0, 0.313, 27.0, 0.741, 6.0, 33.0, 26.0, 18.0, 7.0, 18.0, 20.0, 104.0, 0.0, 1610612737.0, 87.0, 0.46, 27.0, 0.37, 16.0, 0.688, 13.0, 37.0, 22.0, 12.0, 2.0, 26.0, 22.0, 101.0, 1.0, 1
1610612748.0, 87.0, 0.356, 34.0, 0.147, 27.0, 0.556, 12.0, 29.0, 23.0, 11.0, 7.0, 13.0, 17.0, 82.0, 0.0, 1610612737.0, 91.0, 0.473, 24.0, 0.417, 13.0, 0.769, 14.0, 45.0, 25.0, 7.0, 2.0, 17.0, 22.0, 106.0, 1.0, 2
1610612749.0, 100.0, 0.55, 40.0, 0.35, 28.0, 0.714, 12.0, 42.0, 36.0, 11.0, 8.0, 14.0, 26.0, 144.0, 0.0, 1610612737.0, 85.0, 0.435, 41.0, 0.341, 35.0, 0.686, 5.0, 26.0, 26.0, 11.0, 3.0, 21.0, 23.0, 112.0, 1.0, 1
1610612764.0, 92.0, 0.467, 29.0, 0.379, 23.0, 0.739, 10.0, 38.0, 29.0, 10.0, 2.0, 10.0, 20.0, 114.0, 0.0, 1610612737.0, 95.0, 0.421, 31.0, 0.323, 13.0, 0.615, 13.0, 37.0, 26.0, 5.0, 6.0, 14.0, 19.0, 98.0, 1.0, 1
1610612754.0, 84.0, 0.5, 24.0, 0.458, 29.0, 0.724, 8.0, 31.0, 29.0, 13.0, 6.0, 11.0, 18.0, 116.0, 0.0, 1610612737.0, 95.0, 0.432, 32.0, 0.406, 19.0, 0.684, 21.0, 32.0, 24.0, 8.0, 5.0, 17.0, 23.0, 108.0, 1.0, 1
1610612739.0, 85.0, 0.471, 23.0, 0.217, 29.0, 0.793, 10.0, 34.0, 27.0, 9.0, 2.0, 12.0, 23.0, 108.0, 0.0, 1610612737.0, 98.0, 0.439, 37.0, 0.27, 25.0, 0.6, 17.0, 36.0, 27.0, 7.0, 4.0, 13.0, 25.0, 111.0, 1.0, 2
1610612750.0, 98.0, 0.449, 32.0, 0.344, 38.0, 0.553, 16.0, 31.0, 28.0, 14.0, 9.0, 14.0, 26.0, 120.0, 0.0, 1610612737.0, 100.0, 0.47, 35.0, 0.457, 20.0, 0.65, 17.0, 41.0, 32.0, 10.0, 6.0, 23.0, 33.0, 123.0, 1.0, 2
