TEAM_ID, FGA ,FG_PCT, FG3A, FG3_PCT, FTA, FT_PCT, OREB, DREB, AST, STL, BLK, TO, PF, PTS, HOME, TEAM_ID_O, FGA_O, FG_PCT_O, FG3A_O, FG3_PCT_O, FTA_O, FT_PCT_O, OREB_O, DREB_O, AST_O ,STL_O, BLK_O, TO_O, PF_O, PTS_O, HOME_O, LABEL
1610612747.0, 84.0, 0.429, 31.0, 0.161, 33.0, 0.727, 13.0, 43.0, 21.0, 14.0, 9.0, 22.0, 24.0, 101.0, 0.0, 1610612737.0, 86.0, 0.36, 42.0, 0.286, 25.0, 0.88, 8.0, 34.0, 18.0, 8.0, 5.0, 19.0, 27.0, 96.0, 1.0, 1
1610612754.0, 92.0, 0.5, 22.0, 0.318, 15.0, 0.733, 6.0, 40.0, 28.0, 7.0, 0.0, 14.0, 21.0, 110.0, 0.0, 1610612737.0, 94.0, 0.415, 28.0, 0.214, 23.0, 0.696, 12.0, 38.0, 24.0, 6.0, 4.0, 15.0, 20.0, 100.0, 1.0, 1
1610612741.0, 94.0, 0.574, 24.0, 0.458, 19.0, 0.895, 7.0, 35.0, 32.0, 15.0, 7.0, 13.0, 25.0, 136.0, 0.0, 1610612737.0, 83.0, 0.422, 38.0, 0.342, 26.0, 0.731, 10.0, 31.0, 26.0, 7.0, 5.0, 23.0, 20.0, 102.0, 1.0, 1
1610612748.0, 103.0, 0.515, 41.0, 0.341, 22.0, 0.682, 9.0, 44.0, 35.0, 5.0, 3.0, 11.0, 17.0, 135.0, 0.0, 1610612737.0, 95.0, 0.474, 54.0, 0.37, 18.0, 0.611, 4.0, 33.0, 30.0, 4.0, 6.0, 11.0, 23.0, 121.0, 1.0, 1
1610612766.0, 90.0, 0.4, 31.0, 0.355, 29.0, 0.828, 13.0, 31.0, 22.0, 8.0, 3.0, 11.0, 17.0, 107.0, 0.0, 1610612737.0, 91.0, 0.484, 45.0, 0.4, 17.0, 0.941, 11.0, 37.0, 28.0, 8.0, 8.0, 13.0, 24.0, 122.0, 1.0, 2
1610612751.0, 101.0, 0.495, 31.0, 0.452, 18.0, 0.889, 18.0, 35.0, 26.0, 8.0, 6.0, 15.0, 20.0, 130.0, 0.0, 1610612737.0, 90.0, 0.533, 26.0, 0.346, 21.0, 0.619, 9.0, 26.0, 24.0, 8.0, 9.0, 16.0, 19.0, 118.0, 1.0, 1
1610612744.0, 83.0, 0.398, 17.0, 0.176, 12.0, 0.833, 18.0, 28.0, 17.0, 11.0, 8.0, 23.0, 20.0, 79.0, 0.0, 1610612737.0, 89.0, 0.461, 29.0, 0.276, 15.0, 0.933, 11.0, 27.0, 21.0, 13.0, 4.0, 14.0, 12.0, 104.0, 1.0, 2
1610612745.0, 89.0, 0.584, 51.0, 0.49, 34.0, 0.853, 13.0, 39.0, 30.0, 9.0, 2.0, 15.0, 23.0, 158.0, 0.0, 1610612737.0, 89.0, 0.427, 46.0, 0.326, 25.0, 0.8, 8.0, 21.0, 26.0, 5.0, 2.0, 13.0, 23.0, 111.0, 1.0, 1
1610612754.0, 92.0, 0.424, 26.0, 0.231, 28.0, 0.75, 9.0, 33.0, 19.0, 12.0, 6.0, 15.0, 20.0, 105.0, 0.0, 1610612737.0, 90.0, 0.433, 32.0, 0.281, 18.0, 0.944, 10.0, 38.0, 14.0, 10.0, 3.0, 24.0, 27.0, 104.0, 1.0, 1
1610612749.0, 88.0, 0.477, 34.0, 0.294, 27.0, 0.63, 10.0, 37.0, 25.0, 6.0, 11.0, 14.0, 23.0, 111.0, 0.0, 1610612737.0, 94.0, 0.404, 34.0, 0.324, 22.0, 0.682, 14.0, 35.0, 22.0, 4.0, 5.0, 17.0, 25.0, 102.0, 1.0, 1
1610612750.0, 90.0, 0.456, 35.0, 0.429, 36.0, 0.778, 14.0, 33.0, 27.0, 10.0, 6.0, 13.0, 25.0, 125.0, 0.0, 1610612737.0, 94.0, 0.436, 32.0, 0.313, 26.0, 0.808, 9.0, 33.0, 26.0, 6.0, 4.0, 17.0, 25.0, 113.0, 1.0, 1
1610612761.0, 88.0, 0.455, 37.0, 0.351, 30.0, 0.867, 12.0, 30.0, 22.0, 5.0, 5.0, 15.0, 16.0, 119.0, 0.0, 1610612737.0, 90.0, 0.522, 34.0, 0.412, 11.0, 0.727, 8.0, 30.0, 32.0, 9.0, 7.0, 15.0, 27.0, 116.0, 1.0, 1
1610612765.0, 82.0, 0.598, 34.0, 0.5, 20.0, 0.65, 12.0, 30.0, 30.0, 13.0, 10.0, 18.0, 17.0, 128.0, 0.0, 1610612737.0, 88.0, 0.432, 37.0, 0.27, 17.0, 1.0, 10.0, 24.0, 26.0, 12.0, 2.0, 19.0, 18.0, 103.0, 1.0, 1
1610612749.0, 87.0, 0.529, 43.0, 0.395, 34.0, 0.765, 8.0, 38.0, 25.0, 6.0, 8.0, 19.0, 25.0, 135.0, 0.0, 1610612737.0, 96.0, 0.458, 31.0, 0.452, 31.0, 0.806, 9.0, 34.0, 27.0, 8.0, 2.0, 13.0, 26.0, 127.0, 1.0, 1
1610612747.0, 89.0, 0.528, 35.0, 0.429, 16.0, 0.813, 10.0, 32.0, 26.0, 10.0, 14.0, 16.0, 19.0, 122.0, 0.0, 1610612737.0, 86.0, 0.43, 28.0, 0.286, 25.0, 0.76, 9.0, 28.0, 16.0, 11.0, 2.0, 18.0, 19.0, 101.0, 1.0, 1
1610612746.0, 93.0, 0.538, 33.0, 0.515, 35.0, 0.943, 12.0, 41.0, 30.0, 10.0, 12.0, 19.0, 28.0, 150.0, 0.0, 1610612737.0, 90.0, 0.378, 24.0, 0.25, 37.0, 0.73, 14.0, 24.0, 19.0, 11.0, 10.0, 19.0, 27.0, 101.0, 1.0, 1
1610612756.0, 85.0, 0.482, 39.0, 0.385, 38.0, 0.816, 7.0, 32.0, 32.0, 6.0, 2.0, 20.0, 24.0, 128.0, 0.0, 1610612737.0, 91.0, 0.44, 31.0, 0.258, 30.0, 0.8, 15.0, 34.0, 25.0, 15.0, 5.0, 22.0, 31.0, 112.0, 1.0, 1
1610612743.0, 104.0, 0.442, 41.0, 0.268, 22.0, 0.818, 15.0, 25.0, 31.0, 7.0, 5.0, 3.0, 24.0, 121.0, 0.0, 1610612737.0, 83.0, 0.53, 34.0, 0.441, 34.0, 0.647, 10.0, 35.0, 30.0, 1.0, 5.0, 14.0, 21.0, 125.0, 1.0, 2
1610612757.0, 104.0, 0.433, 36.0, 0.333, 28.0, 0.786, 16.0, 45.0, 19.0, 10.0, 9.0, 17.0, 22.0, 124.0, 0.0, 1610612737.0, 104.0, 0.404, 41.0, 0.268, 25.0, 0.72, 11.0, 37.0, 21.0, 11.0, 8.0, 16.0, 26.0, 113.0, 1.0, 1
1610612758.0, 76.0, 0.553, 31.0, 0.581, 22.0, 0.864, 9.0, 27.0, 27.0, 7.0, 7.0, 14.0, 19.0, 121.0, 0.0, 1610612737.0, 87.0, 0.529, 28.0, 0.321, 14.0, 0.571, 11.0, 23.0, 23.0, 8.0, 6.0, 12.0, 19.0, 109.0, 1.0, 1
1610612741.0, 82.0, 0.5, 33.0, 0.394, 27.0, 0.667, 7.0, 36.0, 26.0, 11.0, 9.0, 17.0, 30.0, 113.0, 0.0, 1610612737.0, 74.0, 0.405, 30.0, 0.2, 35.0, 0.771, 6.0, 35.0, 18.0, 7.0, 3.0, 24.0, 26.0, 93.0, 1.0, 1
1610612759.0, 91.0, 0.418, 33.0, 0.242, 23.0, 0.696, 11.0, 30.0, 18.0, 9.0, 8.0, 15.0, 17.0, 100.0, 0.0, 1610612737.0, 90.0, 0.478, 30.0, 0.367, 16.0, 0.688, 9.0, 39.0, 22.0, 9.0, 5.0, 18.0, 20.0, 108.0, 1.0, 2
1610612748.0, 84.0, 0.476, 37.0, 0.378, 19.0, 0.632, 9.0, 32.0, 29.0, 12.0, 9.0, 13.0, 18.0, 106.0, 0.0, 1610612737.0, 88.0, 0.409, 34.0, 0.206, 26.0, 0.692, 16.0, 34.0, 20.0, 5.0, 5.0, 16.0, 15.0, 97.0, 1.0, 1
1610612748.0, 73.0, 0.452, 31.0, 0.419, 45.0, 0.733, 13.0, 36.0, 19.0, 11.0, 6.0, 26.0, 22.0, 112.0, 0.0, 1610612737.0, 83.0, 0.422, 39.0, 0.282, 24.0, 0.667, 9.0, 24.0, 28.0, 14.0, 7.0, 20.0, 29.0, 97.0, 1.0, 1
1610612755.0, 88.0, 0.42, 41.0, 0.268, 25.0, 0.8, 12.0, 37.0, 22.0, 12.0, 11.0, 21.0, 29.0, 105.0, 0.0, 1610612737.0, 84.0, 0.429, 27.0, 0.333, 32.0, 0.688, 8.0, 37.0, 23.0, 12.0, 3.0, 21.0, 25.0, 103.0, 1.0, 1
